driver,lat,lon,occupied,timestamp
egteir,37.75145,-122.39352,0,1211942329
egteir,37.75143,-122.3935,0,1211942138
egteir,37.75143,-122.39382,0,1211942082
egteir,37.75107,-122.39338,0,1211941325
egteir,37.75099,-122.39335,0,1211941137
egteir,37.751,-122.39335,0,1211941079
egteir,37.75099,-122.39335,0,1211941001
egteir,37.75099,-122.39335,0,1211940882
egteir,37.75099,-122.39335,0,1211940809
egteir,37.751,-122.39335,0,1211940687
egteir,37.751,-122.39335,0,1211940634
egteir,37.751,-122.39335,0,1211940565
egteir,37.75102,-122.39335,0,1211940449
egteir,37.75102,-122.39335,0,1211940385
egteir,37.75102,-122.39334,0,1211940339
egteir,37.75102,-122.39333,0,1211940222
egteir,37.75101,-122.39333,0,1211940145
egteir,37.75101,-122.39333,0,1211939909
egteir,37.75101,-122.39334,0,1211939854
egteir,37.75102,-122.39335,0,1211939733
egteir,37.75101,-122.39334,0,1211939616
egteir,37.751,-122.39334,0,1211939497
egteir,37.75099,-122.39333,0,1211939138
egteir,37.75099,-122.39332,0,1211939066
egteir,37.75099,-122.39332,0,1211938964
egteir,37.75098,-122.39332,0,1211938862
egteir,37.75098,-122.39332,0,1211938799
egteir,37.75098,-122.39332,0,1211938740
egteir,37.75098,-122.39332,0,1211938610
egteir,37.75098,-122.39332,0,1211938552
egteir,37.75099,-122.39332,0,1211938492
egteir,37.75099,-122.39333,0,1211938434
egteir,37.75099,-122.39333,0,1211938312
egteir,37.75099,-122.39333,0,1211938259
egteir,37.75099,-122.39333,0,1211938133
egteir,37.75099,-122.39332,0,1211938065
egteir,37.75099,-122.39331,0,1211938021
egteir,37.75099,-122.39332,0,1211937883
egteir,37.75098,-122.39333,0,1211937840
egteir,37.75097,-122.39333,0,1211937722
egteir,37.75098,-122.39332,0,1211937652
egteir,37.751,-122.39332,0,1211937462
egteir,37.751,-122.39332,0,1211937352
egteir,37.75101,-122.39332,0,1211937281
egteir,37.751,-122.39331,0,1211937220
egteir,37.75101,-122.39333,0,1211937050
egteir,37.751,-122.39333,0,1211936979
egteir,37.75099,-122.39331,0,1211936865
egteir,37.751,-122.39332,0,1211936799
egteir,37.751,-122.39332,0,1211936739
egteir,37.751,-122.39333,0,1211936682
egteir,37.751,-122.39334,0,1211936497
egteir,37.75101,-122.39333,0,1211936284
egteir,37.751,-122.39334,0,1211935990
egteir,37.751,-122.39335,0,1211935917
egteir,37.75099,-122.39334,0,1211935861
egteir,37.75099,-122.39334,0,1211935795
egteir,37.75099,-122.39333,0,1211935740
egteir,37.75099,-122.39333,0,1211935614
egteir,37.751,-122.39333,0,1211935600
egteir,37.75101,-122.39333,0,1211935482
egteir,37.75101,-122.39333,0,1211935407
egteir,37.75099,-122.39333,0,1211935367
egteir,37.751,-122.39333,0,1211935286
egteir,37.75099,-122.39333,0,1211935226
egteir,37.75098,-122.39333,0,1211935169
egteir,37.75097,-122.39333,0,1211935105
egteir,37.75096,-122.39334,0,1211935051
egteir,37.75096,-122.39334,0,1211934988
egteir,37.75098,-122.39334,0,1211934935
egteir,37.75099,-122.39334,0,1211934865
egteir,37.75099,-122.39333,0,1211934808
egteir,37.75099,-122.39333,0,1211934749
egteir,37.75098,-122.39334,0,1211934686
egteir,37.75099,-122.39334,0,1211934642
egteir,37.751,-122.39333,0,1211934566
egteir,37.75099,-122.39333,0,1211934505
egteir,37.75099,-122.39332,0,1211934444
egteir,37.75099,-122.39332,0,1211934383
egteir,37.751,-122.39332,0,1211934333
egteir,37.75099,-122.39331,0,1211934294
egteir,37.75099,-122.39332,0,1211934173
egteir,37.751,-122.39332,0,1211934112
egteir,37.751,-122.39332,0,1211934052
egteir,37.751,-122.39332,0,1211933992
egteir,37.751,-122.39333,0,1211933931
egteir,37.751,-122.39333,0,1211933874
egteir,37.751,-122.39332,0,1211933811
egteir,37.75101,-122.39332,0,1211933751
egteir,37.75101,-122.39332,0,1211933696
egteir,37.75101,-122.39333,0,1211933632
egteir,37.751,-122.39332,0,1211933602
egteir,37.751,-122.39333,0,1211933542
egteir,37.751,-122.39333,0,1211933486
egteir,37.75101,-122.39334,0,1211933427
egteir,37.751,-122.39333,0,1211933362
egteir,37.751,-122.39333,0,1211933312
egteir,37.75105,-122.39333,0,1211933191
egteir,37.75101,-122.39332,0,1211933123
egteir,37.75101,-122.39334,0,1211933075
egteir,37.75101,-122.39333,0,1211933012
egteir,37.751,-122.39333,0,1211932947
egteir,37.75103,-122.39334,0,1211932887
egteir,37.75102,-122.39333,0,1211932839
egteir,37.75102,-122.39333,0,1211932767
egteir,37.75102,-122.39332,0,1211932727
egteir,37.75102,-122.39334,0,1211932596
egteir,37.75102,-122.39333,0,1211932526
egteir,37.75102,-122.39334,0,1211932503
egteir,37.75102,-122.39334,0,1211932459
egteir,37.75102,-122.39334,0,1211932383
egteir,37.751,-122.39334,0,1211932346
egteir,37.751,-122.39334,0,1211932287
egteir,37.751,-122.39335,0,1211932222
egteir,37.75101,-122.39336,0,1211932167
egteir,37.75101,-122.39335,0,1211932049
egteir,37.75101,-122.39334,0,1211931988
egteir,37.751,-122.39334,0,1211931927
egteir,37.75101,-122.39334,0,1211931860
egteir,37.75101,-122.39334,0,1211931768
egteir,37.751,-122.39334,0,1211931708
egteir,37.75101,-122.39334,0,1211931652
egteir,37.75101,-122.39334,0,1211931588
egteir,37.75101,-122.39334,0,1211931543
egteir,37.75101,-122.39333,0,1211931470
egteir,37.75102,-122.39333,0,1211931414
egteir,37.75101,-122.39333,0,1211931359
egteir,37.751,-122.39335,0,1211931180
egteir,37.751,-122.39334,0,1211931122
egteir,37.751,-122.39334,0,1211931053
egteir,37.75099,-122.39333,0,1211930997
egteir,37.75099,-122.39333,0,1211930936
egteir,37.75098,-122.39332,0,1211930876
egteir,37.75099,-122.39333,0,1211930751
egteir,37.751,-122.39334,0,1211930697
egteir,37.751,-122.39332,0,1211930631
egteir,37.75101,-122.39335,0,1211930571
egteir,37.75102,-122.39335,0,1211930516
egteir,37.75102,-122.39335,0,1211930455
egteir,37.75101,-122.39335,0,1211930404
egteir,37.75101,-122.39335,0,1211930341
egteir,37.75101,-122.39335,0,1211930215
egteir,37.75099,-122.39332,0,1211930151
egteir,37.75101,-122.39334,0,1211930090
egteir,37.75102,-122.39335,0,1211930029
egteir,37.75101,-122.39334,0,1211929968
egteir,37.751,-122.39334,0,1211929863
egteir,37.75101,-122.39334,0,1211929794
egteir,37.75102,-122.39334,0,1211929732
egteir,37.75101,-122.39334,0,1211929666
egteir,37.751,-122.39333,0,1211929616
egteir,37.75101,-122.39333,0,1211929546
egteir,37.751,-122.39334,0,1211929486
egteir,37.751,-122.39334,0,1211929426
egteir,37.751,-122.39333,0,1211929371
egteir,37.751,-122.39333,0,1211929305
egteir,37.751,-122.39333,0,1211929249
egteir,37.751,-122.39334,0,1211929194
egteir,37.751,-122.39334,0,1211929126
egteir,37.751,-122.39334,0,1211929078
egteir,37.75101,-122.39334,0,1211928945
egteir,37.75102,-122.39334,0,1211928679
egteir,37.75102,-122.39333,0,1211928615
egteir,37.751,-122.39333,0,1211928555
egteir,37.751,-122.39332,0,1211928500
egteir,37.751,-122.39333,0,1211928435
egteir,37.751,-122.39333,0,1211928380
egteir,37.75099,-122.39331,0,1211928330
egteir,37.75099,-122.39331,0,1211928264
egteir,37.751,-122.39332,0,1211928136
egteir,37.751,-122.39333,0,1211928093
egteir,37.751,-122.39334,0,1211928018
egteir,37.75101,-122.39334,0,1211927967
egteir,37.75101,-122.39333,0,1211927832
egteir,37.751,-122.39332,0,1211927772
egteir,37.751,-122.39333,0,1211927734
egteir,37.751,-122.39333,0,1211927673
egteir,37.751,-122.39333,0,1211927603
egteir,37.751,-122.39333,0,1211927547
egteir,37.75101,-122.39334,0,1211927496
egteir,37.75101,-122.39344,0,1211927446
egteir,37.7509,-122.3935,0,1211927386
egteir,37.7509,-122.3935,0,1211927344
egteir,37.7509,-122.3935,1,1211927336
egteir,37.75091,-122.3935,0,1211927330
egteir,37.75089,-122.39349,0,1211927267
egteir,37.7523,-122.3927,0,1211927212
egteir,37.76211,-122.39277,0,1211927147
egteir,37.77374,-122.40005,0,1211927087
egteir,37.77632,-122.40314,0,1211927037
egteir,37.77714,-122.40464,0,1211926966
egteir,37.77719,-122.40467,0,1211926785
egteir,37.77725,-122.40466,0,1211926681
egteir,37.77731,-122.40458,0,1211926618
egteir,37.77727,-122.40463,0,1211926570
egteir,37.77726,-122.4046,0,1211926505
egteir,37.77718,-122.40462,0,1211926449
egteir,37.77726,-122.40465,0,1211926390
egteir,37.77737,-122.40447,0,1211926324
egteir,37.77754,-122.40389,0,1211926263
egteir,37.77939,-122.40151,0,1211926208
egteir,37.78261,-122.39738,0,1211926143
egteir,37.78558,-122.39685,0,1211926082
egteir,37.78695,-122.39857,0,1211926023
egteir,37.78893,-122.40185,0,1211925969
egteir,37.78995,-122.40185,0,1211925932
egteir,37.78997,-122.40182,0,1211925888
egteir,37.78997,-122.40182,0,1211925872
egteir,37.79304,-122.40233,0,1211925765
egteir,37.79601,-122.40394,0,1211925710
egteir,37.79839,-122.40753,0,1211925660
